Timestamp,S3_ch0,S3_ch1,S3_ch2,S3_ch3,S3_ch4,S3_ch5,S3_ch6,S3_ch7,S5_Ravg0,S5_Ravg1,S5_Ravg2,S5_Ravg3
2025-10-21 17:27:06.000,0.218450,0.239164,0.259559,0.279611,0.299293,0.318579,0.337446,0.355870,0.990382,0.988371,0.986171,0.983784
2025-10-21 17:27:07.000,0.244780,0.267765,0.290330,0.312443,0.334069,0.355176,0.375732,0.395708,0.988202,0.985737,0.983040,0.980115
2025-10-21 17:27:08.000,0.244780,0.267765,0.290330,0.312443,0.334069,0.355176,0.375732,0.395708,0.988202,0.985737,0.983040,0.980115
2025-10-21 17:27:09.000,0.244780,0.267765,0.290330,0.312443,0.334069,0.355176,0.375732,0.395708,0.988202,0.985737,0.983040,0.980115
2025-10-21 17:27:10.000,0.244780,0.267765,0.290330,0.312443,0.334069,0.355176,0.375732,0.395708,0.988202,0.985737,0.983040,0.980115
2025-10-21 17:27:11.000,0.244780,0.267765,0.290330,0.312443,0.334069,0.355176,0.375732,0.395708,0.988202,0.985737,0.983040,0.980115
2025-10-21 17:27:12.000,0.244780,0.267765,0.290330,0.312443,0.334069,0.355176,0.375732,0.395708,0.988202,0.985737,0.983040,0.980115
2025-10-21 17:27:13.000,0.244780,0.267765,0.290330,0.312443,0.334069,0.355176,0.375732,0.395708,0.988202,0.985737,0.983040,0.980115
2025-10-21 17:27:14.000,0.244780,0.267765,0.290330,0.312443,0.334069,0.355176,0.375732,0.395708,0.988202,0.985737,0.983040,0.980115
2025-10-21 17:27:15.000,0.244780,0.267765,0.290330,0.312443,0.334069,0.355176,0.375732,0.395708,0.988202,0.985737,0.983040,0.980115
2025-10-21 17:27:16.000,0.244780,0.267765,0.290330,0.312443,0.334069,0.355176,0.375732,0.395708,0.988202,0.985737,0.983040,0.980115
2025-10-21 17:27:17.000,0.244780,0.267765,0.290330,0.312443,0.334069,0.355176,0.375732,0.395708,0.988202,0.985737,0.983040,0.980115
2025-10-21 17:27:18.000,0.244780,0.267765,0.290330,0.312443,0.334069,0.355176,0.375732,0.395708,0.988202,0.985737,0.983040,0.980115
2025-10-21 17:27:19.000,0.244780,0.267765,0.290330,0.312443,0.334069,0.355176,0.375732,0.395708,0.988202,0.985737,0.983040,0.980115
2025-10-21 17:27:20.000,0.244780,0.267765,0.290330,0.312443,0.334069,0.355176,0.375732,0.395708,0.988202,0.985737,0.983040,0.980115
2025-10-21 17:27:21.000,0.244780,0.267765,0.290330,0.312443,0.334069,0.355176,0.375732,0.395708,0.988202,0.985737,0.983040,0.980115
2025-10-21 17:27:22.000,0.244780,0.267765,0.290330,0.312443,0.334069,0.355176,0.375732,0.395708,0.988202,0.985737,0.983040,0.980115
2025-10-21 17:27:23.000,0.244780,0.267765,0.290330,0.312443,0.334069,0.355176,0.375732,0.395708,0.988202,0.985737,0.983040,0.980115
2025-10-21 17:27:24.000,0.244780,0.267765,0.290330,0.312443,0.334069,0.355176,0.375732,0.395708,0.988202,0.985737,0.983040,0.980115
2025-10-21 17:27:25.000,0.244780,0.267765,0.290330,0.312443,0.334069,0.355176,0.375732,0.395708,0.988202,0.985737,0.983040,0.980115
2025-10-21 17:27:26.000,0.244780,0.267765,0.290330,0.312443,0.334069,0.355176,0.375732,0.395708,0.988202,0.985737,0.983040,0.980115
2025-10-21 17:27:27.000,0.244780,0.267765,0.290330,0.312443,0.334069,0.355176,0.375732,0.395708,0.988202,0.985737,0.983040,0.980115
2025-10-21 17:27:28.000,0.244780,0.267765,0.290330,0.312443,0.334069,0.355176,0.375732,0.395708,0.988202,0.985737,0.983040,0.980115
2025-10-21 17:27:29.000,0.244780,0.267765,0.290330,0.312443,0.334069,0.355176,0.375732,0.395708,0.988202,0.985737,0.983040,0.980115
2025-10-21 17:27:30.000,0.244780,0.267765,0.290330,0.312443,0.334069,0.355176,0.375732,0.395708,0.988202,0.985737,0.983040,0.980115
2025-10-21 17:27:31.000,0.244780,0.267765,0.290330,0.312443,0.334069,0.355176,0.375732,0.395708,0.988202,0.985737,0.983040,0.980115
2025-10-21 17:27:32.000,0.244780,0.267765,0.290330,0.312443,0.334069,0.355176,0.375732,0.395708,0.988202,0.985737,0.983040,0.980115
2025-10-21 17:27:33.000,0.244780,0.267765,0.290330,0.312443,0.334069,0.355176,0.375732,0.395708,0.988202,0.985737,0.983040,0.980115
2025-10-21 17:27:34.000,0.244780,0.267765,0.290330,0.312443,0.334069,0.355176,0.375732,0.395708,0.988202,0.985737,0.983040,0.980115
2025-10-21 17:27:35.000,0.244780,0.267765,0.290330,0.312443,0.334069,0.355176,0.375732,0.395708,0.988202,0.985737,0.983040,0.980115
2025-10-21 17:27:36.000,0.244780,0.267765,0.290330,0.312443,0.334069,0.355176,0.375732,0.395708,0.988202,0.985737,0.983040,0.980115
2025-10-21 17:27:37.000,0.244780,0.267765,0.290330,0.312443,0.334069,0.355176,0.375732,0.395708,0.988202,0.985737,0.983040,0.980115
2025-10-21 17:27:38.000,0.244780,0.267765,0.290330,0.312443,0.334069,0.355176,0.375732,0.395708,0.988202,0.985737,0.983040,0.980115
2025-10-21 17:27:39.000,0.244780,0.267765,0.290330,0.312443,0.334069,0.355176,0.375732,0.395708,0.988202,0.985737,0.983040,0.980115
2025-10-21 17:27:40.000,0.244780,0.267765,0.290330,0.312443,0.334069,0.355176,0.375732,0.395708,0.988202,0.985737,0.983040,0.980115
2025-10-21 17:27:41.000,0.244780,0.267765,0.290330,0.312443,0.334069,0.355176,0.375732,0.395708,0.988202,0.985737,0.983040,0.980115
2025-10-21 17:27:42.000,0.244780,0.267765,0.290330,0.312443,0.334069,0.355176,0.375732,0.395708,0.988202,0.985737,0.983040,0.980115
2025-10-21 17:27:43.000,0.244780,0.267765,0.290330,0.312443,0.334069,0.355176,0.375732,0.395708,0.988202,0.985737,0.983040,0.980115
2025-10-21 17:27:44.000,0.244780,0.267765,0.290330,0.312443,0.334069,0.355176,0.375732,0.395708,0.988202,0.985737,0.983040,0.980115
2025-10-21 17:27:45.000,0.244780,0.267765,0.290330,0.312443,0.334069,0.355176,0.375732,0.395708,0.988202,0.985737,0.983040,0.980115
